Id;Surname;Name;Patronymic;PhoneNum;E-mail;DateOfBirth;DataOfPas;Login;Password;;
1;Самойлова;Таисия;Гермоновна;+7 (891) 555-81-44;Taisiya177@lenta.ru;14 ноября 1979 года;5193 897719;Taisiya177;R94YGT3XFjgD;;
2;Ситникова;Аделаида;Гермоновна;+7 (793) 736-70-31;Adelaida20@hotmail.com;21 января 1979 года;7561 148016;Adelaida20;LCY*{L*fEGYB;;
3;Исаев;Лев;Юлианович;+7 (675) 593-89-30;Lev131@rambler.ru;5 августа 1994 года;1860 680004;Lev131;~?oj2Lh@S7*T;;
4;Никифоров;Даниил;Степанович;+7 (384) 358-77-82;Daniil198@bk.ru;13 декабря 1970 года;4557 999958;lzaihtvkdn;L2W#uo7z{EsO;;
5;Титова;Людмила;Якововна;+7 (221) 729-16-84;Lyudmila123@hotmail.com;21 августа 1976 года;7715 639425;Lyudmila123;@8mk9M?NBAGj;;
6;Абрамова;Таисия;Дмитриевна;+7 (528) 312-18-20;Taisiya176@hotmail.com;20 ноября 1982 года;7310 893510;Taisiya176;~rIWfsnXA~7C;;
7;Кузьмина;Вера;Максимовна;+7 (598) 583-53-45;Vera195@list.ru;10 декабря 1989 года;3537 982933;Vera195;B|5v$2r$7luL;;
8;Мартынов;Яков;Ростиславович;+7 (546) 159-67-33;YAkov196@rambler.ru;5 декабря 1976 года;1793 986063;YAkov196;$6s5bggKP7aw;;
9;Евсеева;Нина;Павловна;+7 (833) 521-31-50;Nina145@msn.com;26 сентября 1994 года;9323 745717;Nina145;Uxy6RtBXIcpT;;
10;Голубев;Леонтий;Вячеславович;+7 (160) 527-57-41;Leontij161@mail.ru;3 октября 1990 года;1059 822077;Leontij161;KkMY8yKw@oCa;;
11;Карпова;Серафима;Михаиловна;+7 (459) 930-91-70;Serafima169@yahoo.com;19 ноября 1989 года;7034 858987;Serafima169;gNe3I9}8J3Z@;;
12;Орехов;Сергей;Емельянович;+7 (669) 603-29-87;Sergej35@inbox.ru;11 февраля 1972 года;3844 223682;Sergej35;$39vc%ljqN%r;;
13;Исаев;Георгий;Павлович;+7 (678) 516-36-86;Georgij121@inbox.ru;11 августа 1987 года;4076 629809;Georgij121;bbx5H}f*BC?w;;
14;Богданов;Елизар;Артемович;+7 (165) 768-30-97;Elizar30@yandex.ru;2 февраля 1978 года;0573 198559;Elizar30;wJs1~r3RS~dr;;
15;Тихонова;Лана;Семеновна;+7 (478) 467-75-15;Lana117@outlook.com;24 июля 1990 года;8761 609740;Lana117;mFoG$jcS3c4~;;
16;Степанова;Радинка;Власовна;+7 (613) 272-60-62;Radinka100@yandex.ru;18 октября 1986 года;0208 530509;Vlas86;b3uWS6#Thuvq;;
17;Шилов;Прохор;Герасимович;+7 (615) 594-77-66;Prohor156@list.ru;9 октября 1977 года;3036 796488;Prohor156;zDdom}SIhWs?;;
18;Кононов;Юрин;Романович;+7 (784) 673-51-91;YUrin155@gmail.com;8 октября 1971 года;2747 790512;YUrin155;u@m*~ACBCqNQ;;
19;Елисеева;Альбина;Николаевна;+7 (654) 864-77-46;Aljbina33@lenta.ru;15 февраля 1983 года;5241 213304;Aljbina33;Bu?BHCtwDFin;;
20;Шарова;Клавдия;Макаровна;+7 (822) 525-82-40;Klavdiya113@live.com;22 июля 1980 года;8143 593309;Klavdiya113;FjC#hNIJori};;
21;Сидорова;Тамара;Григорьевна;+7 (334) 692-79-77;Tamara179@live.com;22 ноября 1995 года;8143 905520;Tamara179;TJxVqMXrbesI;;
22;Петухов;Тарас;Фадеевич;+7 (376) 220-62-51;Taras24@rambler.ru;5 января 1991 года;1609 171096;Taras24;07m5yspn3K~K;;
23;Родионов;Аркадий;Власович;+7 (491) 696-17-11;Arkadij123@inbox.ru;11 августа 1993 года;3841 642594;Arkadij123;vk2N7lxX}ck%;;
